,Book Title,230522,35859,11676,113519,16795,60244
0,The Horse Whisperer,0,-1,1,0,9,-1
1,"The Vampire Lestat (Vampire Chronicles, Book II)",-1,0,8,-1,-1,-1
2,The Hours: A Novel,-1,-1,9,-1,8,0
3,While I Was Gone,0,0,0,8,0,0
4,Sphere,0,0,0,-1,0,-1
5,The Red Tent (Bestselling Backlist),0,10,10,9,9,7
6,The Chamber,0,0,0,0,0,-1
7,The Notebook,0,0,10,8,10,-1
8,Harry Potter and the Order of the Phoenix (Book 5),0,0,0,-1,-1,-1
9,The Lovely Bones: A Novel,0,6,5,9,10,0
10,Little Altars Everywhere: A Novel,0,0,0,-1,7,0
11,Good in Bed,0,7,8,0,9,8
12,A Painted House,0,0,8,0,0,0
13,The Handmaid's Tale,0,0,7,-1,-1,-1
14,A Map of the World,-1,-1,8,0,9,8
15,The Five People You Meet in Heaven,-1,-1,9,-1,8,-1
16,The Perfect Storm : A True Story of Men Against the Sea,0,0,8,0,-1,0
17,Confessions of a Shopaholic (Summer Display Opportunity),-1,0,10,-1,0,-1
18,Harry Potter and the Chamber of Secrets (Book 2),-1,0,10,0,-1,0
19,Me Talk Pretty One Day,-1,-1,10,-1,0,0
20,The Catcher in the Rye,0,-1,0,-1,8,7
21,Jurassic Park,-1,-1,8,-1,0,0
22,American Gods,0,0,0,-1,-1,-1
23,The Testament,0,0,9,-1,0,-1
24,Mystic River,-1,0,6,-1,-1,-1
25,The Queen of the Damned (Vampire Chronicles (Paperback)),-1,-1,0,-1,-1,-1
26,A Heartbreaking Work of Staggering Genius,0,-1,0,0,0,0
27,Icy Sparks,-1,0,8,-1,9,-1
28,Wicked: The Life and Times of the Wicked Witch of the West,-1,-1,9,0,-1,7
29,Snow Falling on Cedars,0,-1,10,9,0,0
30,One for the Money (Stephanie Plum Novels (Paperback)),-1,10,8,0,9,-1
31,The Bridges of Madison County,0,0,8,-1,9,0
32,The Street Lawyer,-1,0,8,0,0,-1
33,We Were the Mulvaneys,-1,0,10,-1,0,0
34,Bridget Jones's Diary,0,0,5,0,7,8
35,Midwives: A Novel,0,0,6,8,7,-1
36,The Kitchen God's Wife,7,-1,8,0,-1,-1
37,Interview with the Vampire,9,-1,6,-1,-1,-1
38,The Girls' Guide to Hunting and Fishing,0,0,0,-1,0,8
39,She's Come Undone (Oprah's Book Club (Paperback)),-1,0,1,0,-1,0
40,The Da Vinci Code,9,0,9,0,10,-1
41,Divine Secrets of the Ya-Ya Sisterhood: A Novel,0,0,0,0,0,8
42,Along Came a Spider (Alex Cross Novels),-1,0,8,-1,8,-1
43,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",-1,-1,0,-1,0,0
44,Congo,0,0,9,-1,7,0
45,Fast Food Nation: The Dark Side of the All-American Meal,-1,0,10,-1,-1,-1
46,White Oleander : A Novel (Oprah's Book Club),0,-1,0,0,-1,8
47,A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),0,0,0,-1,-1,0
48,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,0,7,8,0,0,8
49,A Walk to Remember,0,0,7,-1,8,-1
50,To Kill a Mockingbird,0,0,8,10,-1,0
51,Empire Falls,0,0,0,0,4,0
52,The Firm,0,10,1,-1,0,-1
53,The Hobbit : The Enchanting Prelude to The Lord of the Rings,-1,-1,0,-1,-1,10
54,STONES FROM THE RIVER,0,10,4,0,7,0
55,The Rainmaker,0,0,7,0,5,-1
56,SHIPPING NEWS,0,0,3,-1,5,6
57,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,0,-1,0,-1,-1,8
58,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),0,9,9,-1,9,5
59,She's Come Undone (Oprah's Book Club),0,0,0,0,10,-1
60,Life of Pi,0,0,0,9,10,0
61,Girl with a Pearl Earring,-1,0,0,10,0,0
62,Bel Canto: A Novel,-1,9,0,-1,0,-1
63,Cold Mountain : A Novel,-1,7,0,-1,-1,6
64,Wild Animus,-1,0,6,0,0,0
65,The Poisonwood Bible: A Novel,0,0,0,0,4,0
66,Lucky : A Memoir,-1,0,10,0,0,0
67,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),0,0,0,-1,-1,9
68,The Book of Ruth (Oprah's Book Club (Paperback)),0,-1,7,-1,0,0
69,1st to Die: A Novel,0,7,10,-1,9,-1
70,Hannibal,0,0,8,-1,5,-1
71,The Alienist,0,0,7,-1,0,-1
72,Fahrenheit 451,0,10,0,-1,8,9
73,The Runaway Jury,0,0,9,-1,0,-1
74,A Prayer for Owen Meany,-1,-1,10,0,0,-1
75,The Joy Luck Club,0,8,0,9,0,8
76,Summer Sisters,0,-1,7,0,9,0
77,Red Dragon,0,-1,0,-1,-1,-1
78,The Summons,0,0,8,0,8,-1
79,The Secret Life of Bees,0,8,10,0,10,0
80,The Partner,0,0,0,-1,0,-1
81,The Client,0,0,5,-1,5,-1
82,Timeline,0,0,10,0,5,-1
83,The Reader,-1,6,8,8,5,0
84,Into Thin Air : A Personal Account of the Mt. Everest Disaster,0,-1,8,0,5,0
85,Angela's Ashes (MMP) : A Memoir,0,-1,9,0,-1,0
86,Where the Heart Is (Oprah's Book Club (Paperback)),0,0,10,9,8,0
87,The Pilot's Wife : A Novel,0,0,0,0,0,0
88,The Nanny Diaries: A Novel,0,8,9,0,9,8
89,House of Sand and Fog,-1,0,7,0,9,7
90,Message in a Bottle,8,0,0,0,0,0
91,Fall On Your Knees (Oprah #45),-1,-1,6,0,9,8
92,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),0,10,10,0,-1,0
93,A Time to Kill,0,0,0,-1,0,-1
94,The Pelican Brief,0,0,0,-1,6,-1
95,Balzac and the Little Chinese Seamstress : A Novel,-1,8,9,0,-1,-1
96,Angels &amp; Demons,0,0,8,0,0,0
97,The Brethren,0,0,8,0,-1,-1
